Name,Extension,Size_MB,Size_Bytes,RelativePath,FullPath,WebsiteCategory,Subcategory,PlannedUse
1744169444_banner6a80.webp,.webp,0.275,287890,cms.suzukihyperlocal.com\1744169444_banner6a80.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1744169444_banner6a80.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo
1744172397_bannerff0d.webp,.webp,0.137,144074,cms.suzukihyperlocal.com\1744172397_bannerff0d.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1744172397_bannerff0d.webp,PROMO_HERO_BANNER,Banner/hero,Homepage/promo
17448176243cee.webp,.webp,0.017,17762,cms.suzukihyperlocal.com\17448176243cee.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\17448176243cee.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
17454813042bd6.webp,.webp,0.038,40096,cms.suzukihyperlocal.com\17454813042bd6.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\17454813042bd6.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
174556769082d9.webp,.webp,0.019,20146,cms.suzukihyperlocal.com\174556769082d9.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\174556769082d9.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
1746762745a7eb.webp,.webp,0.056,58926,cms.suzukihyperlocal.com\1746762745a7eb.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1746762745a7eb.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
1747627755657c.webp,.webp,0.057,60058,cms.suzukihyperlocal.com\1747627755657c.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1747627755657c.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
174797409118c7.webp,.webp,0.012,12990,cms.suzukihyperlocal.com\174797409118c7.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\174797409118c7.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
1748336665a51c.png,.png,1.412,1480482,cms.suzukihyperlocal.com\1748336665a51c.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1748336665a51c.png,ARTICLE_MEDIA,Article image,Blog/SEO article
17483366691f79.png,.png,1.355,1420804,cms.suzukihyperlocal.com\17483366691f79.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\17483366691f79.png,ARTICLE_MEDIA,Article image,Blog/SEO article
17483366806906.png,.png,1.437,1507070,cms.suzukihyperlocal.com\17483366806906.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\17483366806906.png,ARTICLE_MEDIA,Article image,Blog/SEO article
1748336684aaf0.png,.png,1.135,1189979,cms.suzukihyperlocal.com\1748336684aaf0.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1748336684aaf0.png,ARTICLE_MEDIA,Article image,Blog/SEO article
1748336688e325.png,.png,1.262,1323362,cms.suzukihyperlocal.com\1748336688e325.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1748336688e325.png,ARTICLE_MEDIA,Article image,Blog/SEO article
1748336697718e.png,.png,1.19,1247472,cms.suzukihyperlocal.com\1748336697718e.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1748336697718e.png,ARTICLE_MEDIA,Article image,Blog/SEO article
1748336733f835.png,.png,1.276,1338016,cms.suzukihyperlocal.com\1748336733f835.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1748336733f835.png,ARTICLE_MEDIA,Article image,Blog/SEO article
17483367400a87.png,.png,1.189,1246383,cms.suzukihyperlocal.com\17483367400a87.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\17483367400a87.png,ARTICLE_MEDIA,Article image,Blog/SEO article
17483367515c37.png,.png,1.223,1282732,cms.suzukihyperlocal.com\17483367515c37.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\17483367515c37.png,ARTICLE_MEDIA,Article image,Blog/SEO article
174833675602e3.png,.png,1.266,1327678,cms.suzukihyperlocal.com\174833675602e3.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\174833675602e3.png,ARTICLE_MEDIA,Article image,Blog/SEO article
1748336762b4fb.png,.png,1.676,1757835,cms.suzukihyperlocal.com\1748336762b4fb.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1748336762b4fb.png,ARTICLE_MEDIA,Article image,Blog/SEO article
1748336772735f.png,.png,1.677,1758372,cms.suzukihyperlocal.com\1748336772735f.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1748336772735f.png,ARTICLE_MEDIA,Article image,Blog/SEO article
17483367793dcd.png,.png,1.448,1518567,cms.suzukihyperlocal.com\17483367793dcd.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\17483367793dcd.png,ARTICLE_MEDIA,Article image,Blog/SEO article
1748337408a46b.png,.png,1.149,1204479,cms.suzukihyperlocal.com\1748337408a46b.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1748337408a46b.png,ARTICLE_MEDIA,Article image,Blog/SEO article
1748338524ecb5.png,.png,0.654,685932,cms.suzukihyperlocal.com\1748338524ecb5.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1748338524ecb5.png,ARTICLE_MEDIA,Article image,Blog/SEO article
1748338559032d.png,.png,1.328,1392994,cms.suzukihyperlocal.com\1748338559032d.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1748338559032d.png,ARTICLE_MEDIA,Article image,Blog/SEO article
17494558062ca1.webp,.webp,0.032,33774,cms.suzukihyperlocal.com\17494558062ca1.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\17494558062ca1.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
1750047538a037.webp,.webp,0.036,37932,cms.suzukihyperlocal.com\1750047538a037.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1750047538a037.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
1750403708769b.webp,.webp,0.037,38434,cms.suzukihyperlocal.com\1750403708769b.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1750403708769b.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
17522076380f03.webp,.webp,0.045,47582,cms.suzukihyperlocal.com\17522076380f03.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\17522076380f03.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
17524636385117.webp,.webp,0.496,520134,cms.suzukihyperlocal.com\17524636385117.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\17524636385117.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
